Descriptor ID, Fitness, Model, R2_Train, R2Pred_Validation, R2Pred_Test
[27- 47- 91- 104- 165],2.12913265276,<class 'sklearn.svm.classes.SVR'>,0.0817805518124,-0.994300961448,-0.321994386681
[119- 199- 208- 340- 378],2.81303367151,<class 'sklearn.svm.classes.SVR'>,-0.039021630814,-1.38751180878,-0.631967185328
[75- 85- 251- 261],2.2349261109,<class 'sklearn.svm.classes.SVR'>,-0.0432112109874,-1.97957942504,-0.408593686944
[29- 51- 120- 153],2.39738808931,<class 'sklearn.svm.classes.SVR'>,-0.0781615434413,-2.09998658854,-0.337364042416
[9- 15- 70- 77- 222- 228- 232- 263- 362],2026.99070912,<class 'sklearn.svm.classes.SVR'>,0.251550612696,-0.546189569799,-0.391029864209
[57- 105- 254- 328],1.19534162336,<class 'sklearn.svm.classes.SVR'>,0.101749061413,-0.355232947622,0.17720067923
[8- 59- 148- 269- 321],1.89252702227,<class 'sklearn.svm.classes.SVR'>,0.412123730641,-2.49109184432,-0.00674910569918
[24- 44- 118- 123- 228],3.13124340976,<class 'sklearn.svm.classes.SVR'>,-0.0363155011904,-1.8662387851,-0.142218006803
[5- 17- 273- 376],1.15822151801,<class 'sklearn.svm.classes.SVR'>,0.241200215401,-1.09743756818,-0.734213080326
[200- 241- 250- 287- 355],3.19388243911,<class 'sklearn.svm.classes.SVR'>,0.0295644482753,-2.3365547922,-1.18873082567
[1- 213- 219- 348],1.66691189237,<class 'sklearn.svm.classes.SVR'>,-0.00208653183001,-0.957458884768,-0.155511755643
[73- 101- 164- 319],2.82176228591,<class 'sklearn.svm.classes.SVR'>,-0.225292778726,-2.02473690166,-0.628474349563
[27- 179- 232- 310],1.81360347441,<class 'sklearn.svm.classes.SVR'>,0.017262188492,-1.42235304022,-0.200940209426
[78- 90- 179- 245- 263- 279- 280],9.42972111113,<class 'sklearn.svm.classes.SVR'>,0.0565911732242,-1.94874915513,-1.09933538318
[18- 40- 42- 114- 133- 147- 372],5.49508296815,<class 'sklearn.svm.classes.SVR'>,0.267154029816,-1.18487471484,-0.212801379468
[167- 189- 226- 315],1.94642828106,<class 'sklearn.svm.classes.SVR'>,0.0393524118689,-1.85919927618,-1.11350782229
[7- 22- 56- 66- 168- 210],1.23061916576,<class 'sklearn.svm.classes.SVR'>,0.508694569693,-0.497511550347,0.156852273218
[19- 78- 355- 365- 395],1.9667604886,<class 'sklearn.svm.classes.SVR'>,0.124210392105,-0.955728941235,-0.220877162582
[153- 168- 327- 339- 352],2.43493592719,<class 'sklearn.svm.classes.SVR'>,0.035525624525,-1.23403736229,-0.451616745523
[173- 179- 232- 266- 285],2.03457643427,<class 'sklearn.svm.classes.SVR'>,0.197718783341,-1.50218320286,-0.437494709499
[113- 121- 141- 148],2.10828270761,<class 'sklearn.svm.classes.SVR'>,-0.0484475117701,-1.67947831796,-0.305244227568
[95- 128- 146- 240- 344],1.97680622982,<class 'sklearn.svm.classes.SVR'>,0.104822308773,-0.861253307909,-0.532878422563
[135- 222- 285- 288- 295],2.26346370155,<class 'sklearn.svm.classes.SVR'>,0.115089614986,-1.41476641166,-0.474399310364
[83- 239- 244- 247- 269],3.22665106144,<class 'sklearn.svm.classes.SVR'>,-0.0238306438064,-2.07282285702,-0.689698559186
[47- 140- 214- 383],1.19975649246,<class 'sklearn.svm.classes.SVR'>,0.188741035395,-0.897440113718,-0.0971406015815
